"Shinault, Napoleon Bonapart - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Shinault, N B - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Shinpack, W H - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Shinunt, N B - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Ship, James - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Shipp, James - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Shoffner, J A - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Shofmer, James A - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Short, U F - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Shotwell, A L - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Shuford, L - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sill, John - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Simmons, H C - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Simmons, James S - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Simmons, L W - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Simmons, S - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Simms, B - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sims, W R - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sinclair, James - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Singleton, Daniel - Age 18, Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Singleton, Daniel - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Singleton, Samuel - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Skelton, L H - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Slaughter, Z - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sledge, A D - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sledge, F J - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sledge, O D - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sloan, John - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sloan, S - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sloan, William - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sloan, W R R - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Slocumb, D M - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smart, Newton B - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smart, Newton Z - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smart, William - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smart, William W - Age 47, Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, A E - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, A M - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, Benjamin R - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, C S - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, C T - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, Ed - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, G A - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, G L - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, H A - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, J G - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, J J - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, J L - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, J Waverly - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, Leonard - Age 39, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, Leonidas - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, Marion S - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, M M - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, R - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, R E - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, Robert W - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, Thos F - Age 43, Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, Thomas J - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, Thomas F - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, T J - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Smith, W R - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Solomon, B F - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Solomon, J H - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sorrells, James - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sorrells, Robert - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"South, P K - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Spain, W H - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Spear, J L - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Spencer, E M - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Spencer, S G - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Spight, W B - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Spinger, William - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stacy, Chesley - Age 26, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stafford, John - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stephens, M J - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stephens, T L - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stevens, N J - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stevens, T L - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stevens, W H - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stewart, B W - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stewart, J H - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stewart, L E - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Still, John - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Still, Walter B - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stith, R S - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"St John, William J - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stone, Eli - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stone, John Clack - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stone, J L - Age [Blank], Year: 1861 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stone, Joseph H - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stovall, Newton - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stoveall, N - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stoveall, Newton - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Strickland, J L - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Strickland, S M - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stroet, Eliot - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stroup, Eliot - Age 22, Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Stroyhorn, J W - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Studdard, J A - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Studdard, John - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Styles, Andrew - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sullavan, James - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sullender, W H - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sullender, William H - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sullivan, Giles - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sullivan, John B - Age 19, Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sullivan, Jiles - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sullivan, John B - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sullivan, W H - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Sullivant, James - Age 21, Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Suth, R S - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Swift, S - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Swift, W J - Age 20, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Talley, W A - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tarver, John - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tatum, John - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Taylor, Benjamin S - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Taylor, Benj Shaduck - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Taylor, H H - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Taylor, J C - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Taylor, J H R - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Taylor, T J - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Taylor, Wilson B - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Taylor, W B - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Teel, John W - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tell, John W - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tell, J W - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Temple, J R - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Temple, Thomas - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Terrel, A B - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Terrel, A W - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Terrell, James N - Age 43, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Terrell, W W - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Terrill, J W - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thacker, R - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thomas, Charles - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thomas, David - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thomas, Micajah A - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thomas, W A - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thomas, W H - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thomas, W L - Age 19, Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thompson, B F - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thompson, D S - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thompson, Frank - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thompson, F - Age [Blank], Year: 1861 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thompson, F W - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thompson, W D - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thompson, W W - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thornton, Adam - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thornton, F T - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thornton, F W - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thornton, Wiley D - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thornton, H E - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thornton, W F - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Thurmand, J F - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tilghman, John - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tilghman, O - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tilman, R C - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tinsley, B F - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Todd, P H - Age 23, Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Toombs, T G - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Toombs, Thomas G - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Towls, William - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Trainor, Patrick - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Troxler, Adam - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tucker, A F - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tucker, A T - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tucker, B C - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tucker, Daniel - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tucker, F A - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tucker, H J - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tucker, V C - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tucker, C E - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tully, W F - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Turner, John - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Turner, Lewis - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Turner, William - Age 28, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Turner, William - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Turney, A D - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tyer, Durant A - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Tyre, Alexander - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Underwood, E O - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Utley, John - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Uttey, John - Age 21, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Valley, W F - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Vanderford, H A - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Veatch, John - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Veazey, B F - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Veazey, E F - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Veazey, J C - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Vernor, James H - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Vick, Howell R - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Vick, John - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wade, R A - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wade, W J - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wadlington, W - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wages, L - Age 19, Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wagner, D R - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wagoner, D R - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wait, T W - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Waits, W T - Age 48, Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walace, Mac - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Waldrip, W T - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Waldron, C M - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Waldrup, Henry - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Waldrup, R - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Waldrup, W B - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Waldrup, W T - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walker, B F - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walker, H D - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
